French,English
ああ,in that other way (ā)
アイスクリーム,ice cream (aisukurīmu)
あう、会う,"to meet, to interview (au)"
あお、青,blue (ao)
あか、赤,red (aka)
あかちゃん、赤ちゃん,baby (akachan)
あきる、飽きる,"to be disinterested, to be bored, to be tired of, to be weary (akiru)"
あく、空く,to become unoccupied (aku)
あける、開ける,"to opentr, to unwraptr (akeru)"
あさ、朝,morning (asa)
あし、足、脚,"foot, leg (ashi)"
あじ、鰺,horse mackerel (aji)
あした、あす、みょうにち、明日,"tomorrow (ashita, asu, myōnichi)"
あそこ,over there (asoko)
あそぶ、遊ぶ,to play (asobu)
あたし、私,"I, myself (atashi, mainly used by females [softer sounding])"
あたま、頭,head (atama)
あたらしい、新しい,new (atarashii)
あちら、あっち,"that direction, thing, person, or place over there (achira, acchi)"
あつい、熱い、暑い,hot (atsui)
あつまる、集まる,to gatherin (atsumaru)
あに、兄,older brother (ani) (onī-san)
あね、姉,older sister (ane) (onē-san)
あの,that (ano)
あまい、甘い,sweet (amai)
あめ、雨,rain (ame)
あらし、嵐,storm (arashi)
あらわれる、現れる,to appear (arawareru)
ある,to exist [for inanimate objects] (aru)
あるく、歩く,to walk (aruku)
アルファベット,alphabet (arufabetto)
あれ,that over there (are)
いい、よい、良い,"good (ii, yoi)"
いいえ,no (iie)
いう、言う,to say (iu)
いえ、家,"house, home (ie)"
イカ、烏賊,squid (ika)
いきもの、生き物,living creatures (ikimono)
いきる、生きる,to live (ikiru)
いく、行く,to go (iku)
いしゃ、医者,doctor (isha)
いす、椅子,"chair, position (isu)"
いたい、痛い,painful (itai)
いち、一,one (ichi)
いっしゅうかん、一週間,one week (isshūkan)
いつつ、五つ,"five, five things (itsutsu)"
いとこ、従兄弟、従姉妹、従兄、従弟、従姉、従妹,cousin (itoko)
いぬ、犬,dog (inu)
いね、稲,rice growing in a field (ine)
いま、今,now (ima)
いも、芋,"yam, potato, taro (imo)"
いもうと、妹,younger sister (imōto)
いらい、依頼,request (irai)
いる,to exist [for animate objects] (iru)
いる、要る,to need (iru)
いろ、色,"color (iro, shikisai)"
いわし、鰯,sardine (iwashi)
インク,ink (inku)
インチ,inch (inchi)
う、よう,"volitional ending [う for u-verbs, よう for ru-verbs]: ""Let's…"" or ""I will"" (u, yō)"
うえ、上,"above, up (ue)"
うごく、動く,to movein (ugoku)
うさぎ、兎,rabbit (usagi)
うし、牛,cow (ushi)
うしろ、後,behind (ushiro)
うたう、歌う,to sing (utau)
うつ、打つ,"to hit, to strike (utsu)"
うつくしい、美しい,beautiful (utsukushii)
うで、腕,arm (ude)
うま、馬,horse (uma)
うまい、美味い、旨い,"delicious, appetizing (umai)"
うまる、埋まる,"to be filled, to be surrounded, to overflow (umaru)"
うむ、生む、産む,to give birth (umu)
うめ、梅,japanese plum or apricot (ume)
うもれる、埋もれる,"to be buried, to be covered (umoreru)"
うる、売る,to sell (uru)
うれしい、嬉しい,happy (ureshii)
え、絵,picture (e)
えいご、英語,English [language] (eigo)
えき、駅,station (eki)
エスカレーター,escalator (esukarētā)
えび、海老,"shrimp, lobster (ebi)"
えり、襟,"lapel, collar (eri)"
える、得る,to obtain [some benefit or knowledge] (eru)
エレベーター,elevator (erebētā)
エンジニア,engineer(enjinia)
えんぴつ、鉛筆,pencil (enpitsu)
えんぴつけずり、鉛筆削り,pencil sharpener (enpitsu-kezuri)
おい、甥,nephew (oi)
おいしい、美味しい,delicious (oishii)
オオカミ、狼,wolf (ōkami)
おおきい、大きい,big (ōkii)
おく、億,one hundred million (oku)
おく、置く,to put (oku)
おこる、怒る,to be angry (okoru)
おこる、起こる、興る,to occur (okoru)
おじ、伯父、叔父,uncle (oji) (oji-san)
おちゃ、お茶,green tea (ocha)
おっと、夫,husband (otto)
おとうと、弟,younger brother (otōto)
おとこ、男,male (otoko)
おとこのこ、男の子,boy (otokonoko)
おとこのひと、男の人,man (otokonohito)
おどる、踊る,to dance (odoru)
おどろく、驚く,"to be astonished, to be surprised, to be scared (odoroku)"
おなか、お腹 （はら、腹）,abdomen (o-naka)
おなか、御腹,stomach (onaka)
おば、伯母、叔母,aunt (oba) (oba-san)
おもい、重い,heavy (omoi)
おやつ、間食,"snack (oyatsu, kanshoku)"
およぐ、泳ぐ,to swim (oyogu)
および、及び,and; as well as (oyobi)
おる、折る,"to breaktr, to foldtr (oru)"
おれ、俺,"I, myself (ore, mainly used by males [informal])"
オレンジ,orange (orenji)
おわる、終わる,"to finish, to close (owaru)"
おんがく、音楽,music (ongaku)
おんな、女,female (onna)
おんなのこ、女の子,girl (onnanoko)
おんなのひと、女の人,woman (onnanohito)
か,question marker (ka)
か,whether (ka)
が,"subject marker, but (ga)"
カ、蚊,"mosquito, gnat (ka)"
ガ、蛾,moth (ga)
かい、貝,shellfish (kai)
かいがら、貝殻,shell (kaigara)
かいぎ、会議,meeting (kaigi)
がいこくご、外国語,foreign language (gaikokugo)
かいしゃ、会社,company (kaisha)
かう、買う,to buy (kau)
かえる、代える,"to exchange, to substitute, to replace (kaeru)"
かえる、変える,to changetr (kaeru)
かえる、帰る、返る,to return (kaeru)
かえる、蛙,frog (kaeru)
かお、顔,face (kao)
かかと、踵,heel (kakato)
かぎ、鍵,"door bolt, key (kagi)"
かぐ、嗅ぐ,to smell (kagu)
かく、書く,to write (kaku)
かこ、過去,past (kako)
かさ、傘,"umbrella, parasol (kasa)"
かしゅ、歌手,singer (kashu)
かしら,I wonder (kashira)
ガス,gas (gasu)
かぜ、風,wind (kaze)
かぜ、風邪,cold [illness] (kaze)
かぞく、家族,family (kazoku)
かた、肩,shoulder (kata)
かたい、硬い、堅い,hard (katai)
カタカナ、片仮名,katakana syllabary characters (katakana)
カタツムリ、蝸牛,snail (katatsumuri)
かたまる、固まる,"to harden, to solidify, to become firm (katamaru)"
かたる、語る,to tell (kataru)
かつお、鰹,bonito (katsuo)
がっこう、学校,school (gakkō)
かなしい、悲しい,sad (kanashii)
かなしむ、悲しむ、哀しむ,to be sad (kanashimu)
かね、金,"money (kane, most commonly o-kane)"
カバー,book cover (kabā)
かばん、鞄,leather bag (kaban)
がま、蟇,toad (gama)
かみ、紙,paper (kami)
かみ、髪,hair (kami)
かみなり、雷,"thunder, lightning (kaminari)"
かむ、噛む,to bite (kamu)
かも,"might be, possible that (kamo)"
かゆい、痒い,itchy (kayui)
かようび、火曜日,Tuesday (ka-yōbi)
から,from (kara)
からい、辛い,hot [spicy] (karai)
からす、烏,"crow, raven (karasu)"
かるい、軽い,"light, easy (karui)"
かわく、乾く,to become dry (kawaku)
かんごし、看護師,nurse (kangoshi)
かんごふ、看護婦,female nurse (kangofu)
かんじ、漢字,Chinese character (kanji)
かんぞう、肝臓,liver (kanzō)
き、木,tree (ki)
きいろ、黄色,yellow (kiiro)
きく、聞く、聴く,"to hear, to listen (kiku)"
きく、菊,chrysanthemum (kiku)
きた、北,north (kita)
きって、切手,stamp (kitte)
きっぷ、切符,"ticket (public transport, fine) (kippu)"
きのう、さくじつ、昨日,"yesterday (kinō, sakujitsu)"
きのこ、茸,mushroom (kinoko)
きめる、決める,to decide (kimeru)
きも、肝,liver (kimo)
きもの、着物,kimono (kimono)
きゅう、く、九,"nine (kyū, ku)"
ぎゅうにゅう、牛乳,milk (gyūnyū)
きょう、今日,today (kyō)
きょうし、教師,(academic) teacher (kyoushi)
きょうだい、兄弟,"brothers, siblings (kyōdai)"
キリン、麒麟,giraffe (kirin)
きる、切る,to cut (kiru)†
きる、着る,to wear [on the upper body] (kiru)
キロ,kilo- (kiro)
きん、金,gold [Au]; money (kin)
ぎん、銀,silver [Ag]; wealth (gin)
きんぞく、金属,"metal, metallic (kinzoku)"
きんにく、筋肉,muscle (kin'niku)
きんようび、金曜日,Friday (kin-yōbi)
くうき、空気,"air, atmosphere (kūki)"
くうこう、空港 （ひこうじょう、飛行場）,"airport (kūkō, hikōjō)"
くき、茎,stem (kuki)
くぎ、釘,"nail, spike (kugi)"
くさ、草,grass (kusa)
くさい、臭い,stinky (kusai)
くだもの、果物,fruit for eating (kudamono)
くち、口,mouth (kuchi)
くちびる、唇,lips (kuchibiru)
くつ、靴,shoe (kutsu)
くつした、靴下,sock (kutsushita)
くび、首,neck (kubi)
くま、熊,bear(kuma)
クモ、蜘蛛,spider (kumo)
くもり、曇り,cloudy (kumori)
くらい、ぐらい,"approximately, about (kurai)"
グラム,gram (guramu)
クリ、栗,chestnut tree (kuri)
くる、来る,to come (kuru)
くるま、車 (じどうしゃ、自動車),"car (kuruma, jidōsha)"
くろ、黒,black (kuro)
けいざい、経済,"economy, economics (keizai)"
けいさつかん、警察官,police officer (keisatsukan)
けしゴム、消しゴム,eraser (keshigomu)
けっこん、結婚,marriage (kekkon)
げつようび、月曜日,Monday (getsu-yōbi)
けむり、煙,"smoke, tobacco, opium (kemuri)"
げり、下痢,diarrhea (geri)
ける、蹴る,to kick (keru)
げんかん、玄関,entrance (genkan)
げんざい、現在,now (genzai)
けんちくか、建築家,architect (kenchikuka)
ご、五,five (go)
コーヒー、珈琲,coffee (kōhī)
こう,like this (kō)
こうじょう、工場,factory (kōjō)
こおり、氷,ice (kōri)
ゴキブリ、蜚蠊,cockroach (gokiburi)
ここ,here (koko)
ここのつ、九つ,"nine, nine things (kokonotsu)"
こころ、心,heart [as in feelings] (kokoro)
こし、腰,"waist, hip (koshi)"
こぜに、小銭,small change (kozeni)
こそ,emphasis (koso)
こちら、こっち,"this direction, thing, person, or place (kochira, kocchi)"
こども、子供,"children, child (kodomo)"
この,this (kono)
ごはん、御飯,cooked rice or meal (gohan)
こむ、込む,to be crowded (komu)
こめ、米,uncooked rice (kome)
こよみ、カレンダー、暦,"calendar (koyomi, karendā)"
これ,"this, it (kore)"
こわい、怖い、恐い,scary (kowai)
こわれる、壊れる,to breakin (kowareru)
さ,-ness (sa)
さえ,even (sae)
さかな、魚,fish (sakana)
さくら、桜,cherry blossom (sakura)
さす、刺す,to stab (sasu)
さす、差す,to raise or extend one's hands (sasu)
さす、指す,to point (sasu)
さつ、札,"bill [of money, e.g., a thousand-yen bill] (satsu)"
さとう、砂糖,sugar (satō)
さば、鯖,mackerel (saba)
さびしい、寂しい、淋しい,lonely (sabishii)
さみしい、寂しい、淋しい,"sad, lonely (samishii)"
さむい、寒い,cold (samui) as in cold weather
さめる、冷める,to cool down (sameru)
さめる、覚める,"to wake, to become sober, to be disillusioned (sameru)"
サラダ,salad (sarada)
さる、猿,monkey (saru)
さわる、触る,to touch (sawaru)
さわる、触る,"to touch, to feel (sawaru)"
さん、三,three (san)
さんすう、算数,arithmetic (sansū)
サンドイッチ,sandwich (sandoitchi)
さんま、秋刀魚,pike (sanma)
じ、字,"a letter, character (ji)"
しお、塩,salt (shio)
しお、塩,salt [NaCl] (shio)
しか,only (shika)
しか、鹿,deer (shika)
しかい、歯科医、はいしゃ、歯医者,"dentist (shikai, ha-isha)"
しかし,"but, however (shikashi)"
しかる、叱る,to scold (shikaru)
じかん、時間,time (jikan)
しし、獅子,lion (shishi)
じしょ、辞書,dictionary (jisho)
システム,system (shisutemu)
した、下,"below, down (shita)"
じてんしゃ、自転車,bicycle (Jitensha)
じどう、自動,automatic (jidō)
じどうはんばいき、自動販売機,"vending machine, slot machine (jidōhanbaiki)"
しぬ、死ぬ,to die (shinu)
しばしば,often (shibashiba)
しまい、姉妹,sisters (shimai)
しめる、占める,"to comprise, to account for (shimeru)"
しめる、締める,"to tie, to fasten (shimeru)"
しめる、閉める,to closetr (shimeru)
しゃかい、社会,society (shakai)
じゅう、十,ten (jū)
しゅう、週,week (shū)
じょうぎ、定規,ruler (jōgi)
しょうじょ、少女,girl (shoujo)
しょうねん、少年,boy (shounen)
じょうほう、情報,"information, news (jōhō)"
しょうぼうし、消防士,firefighter (shouboushi)
しょうゆ、醤油,soy sauce (shōyu)
しょくぶつ、植物,plants (shokubutsu)
しょっぱい、塩っぱい,salty (shoppai)
しり、尻,buttocks (shiri)
しる、知る,to know (shiru)†
しろ、白,white (shiro)
しんぞう、心臓,heart (shinzō)
しんぶん、新聞,newspaper (shinbun)
じんるい、人類,humanity (jinrui)
スイカ、西瓜,watermelon (suika)
すいようび、水曜日,Wednesday (sui-yōbi)
すうじ、数字,numbers (sūji)
すぐれる、優れる,"to excel, to surpass (sugureru)"
すごい、凄い,amazing (sugoi)
すずめ、雀,sparrow (suzume)
ずっと,always (zutto)
すてる、捨てる,"to discard, throw away (suteru)"
すね、脛,shin (sune)
すばらしい、素晴らしい,wonderful (subarashii)
すぺいんご、スペイン語,Spanish [language] (supeingo)
スポーツ,sport (supōtsu)
すら,even (sura)
する,to do (suru)
すわる、座る,to sit (suwaru)
せいじか、政治家,politician (seijika)
せいしき、正式,formality (seishiki)
せなか、背中,back (senaka)
せみ、蝉,cicada (semi)
せる、させる,"causative ending [せる for u-verbs, させる for ru-verbs]: to make [someone do something], to allow (seru, saseru)"
せん、千,thousand (sen)
せんせい、先生,teacher (sensei)
センチメートル、センチ,centimeter (senchi)
そう,like that (sō)
ぞう、象,elephant (zō)
そうだ,"indicates that it seems the verb occurs [e.g., ""It seems he ate""] (sōda)"
そこ,there (soko)
そして,and then (soshite)
そして,"and then, Then… (soshite)"
そちら、そっち,"that direction, thing, person, or place (sochira, socchi)"
そで、袖,sleeve (sode)
そなわる、備わる,to be furnished with (sonawaru)
その,that (sono)
そふ、祖父,grandfather (sofu) (ojii-san)
そぼ、祖母,grandmother (sobo) (obaa-san)
そら、空,sky (sora)
それ,that (sore)
それとも,or (soretomo)
それに,besides (soreni)
た,informal past-tense (ta)
たい,indicates desire to perform verb (tai)
たい、鯛,red snapper (tai)
たいいく、体育,physical education (taiiku)
だいこん、大根,Japanese white radish (daikon)
たいふう、台風,typhoon (taifū)
たいよう、太陽,sun (taiyō)
たおれる、倒れる,"to fall, to collapse (taoreru)"
たか、鷹,"hawk, falcon (taka)"
たかい、高い,"expensive, high (takai)"
だけ,"only, as much as (dake)"
タコ、蛸、章魚,octopus (tako)
たこやき、たこ焼き,octopus dumpling (takoyaki)
たたみ、畳,a tatami mat (tatami)
たつ、立つ,to stand (tatsu)
だって,however (datte)
だの,"things like <list of things>, including, such things as (dano)"
たのしい、楽しい,fun (tanoshii)
たべもの、食べ物,food (tabemono)
たべる、食べる,to eat (taberu)
だろう,indicates that it seems the verb occurs; also used to ask whether the verb occurs (darō)
ち、血,blood (chi)
チーター,cheetah (chītā)
ちいさい、小さい,small (chiisai)
ちかい、近い,"near, close (chikai)"
ちち、父,"father (chichi)(""otou-san"")"
ちゃ、茶,tea (cha)
ちゃいろ、茶色,brown (chairo)
チャック、ファスナー、ジッパー,"zipper, zipper fastener (chakku, fasunā, jippā)"
ちゅうごくご、中国語,Chinese [language] (chūgokugo)
チョーク,chalk (chōku)
ちょう、蝶,butterfly (chō)
ちょうこく、彫刻,"sculpture, engraving (chōkoku)"
ちょうしょく、朝食,"breakfast (chōshoku, asagohan)"
ちょうせんご、朝鮮語、かんこくご、韓国語,"Korean [language], South Korean [language] (chōsengo, kankokugo)"
ちり、地理,geography (chiri)
つかう、使う,to use (tsukau)
つかえる、仕える,"to serve, to work for (tsukaeru)"
つかれる、疲れる,to get tired (tsukareru)
つき、がつ、月,"month (tsuki, gatsu)"
つき、月,moon (tsuki)
つくえ、机,desk (tsukue)
つくる、作る、造る、創る,to make (tsukuru)
っけ,"particle indicating that the speaker is trying to recall some information [""What class is next -kke?""] (-kke)"
ったら,casual topic marker (ttara) [colloquial form of to ittara (if you refer to ~; as for ~)
つち、土,"earth, ground (tsuchi)"
つつ,"ongoing occurrence (tsutsu) [similar to ながら but has different tone, and both actions have equal weight]"
って,said that (tte)
つま、妻,wife (tsuma)
つめ、爪,nail (tsume)
つめたい、冷たい,cold (tsumetai)
つらい、辛い,"painful, heart-breaking (tsurai)"
つりせん、釣り銭、おつり、お釣り,"change (tsurisen), change (o-tsuri)"
て,te form of verb or adjective [see explanation]
で,"at, by (de)"
て、手,hand (te)
でかける、出掛ける,"to go out, to depart (dekakeru)"
てがみ、手紙,letter (tegami)
てくび、手首,wrist (tekubi)
デザート,dessert (dezāto)
てつ、鉄,iron [Fe] (tetsu)
てつどう、鉄道,railway (tetsudō)
てのひら、掌、手の平,palm of hand (te-no-hira)
てまえ、手前,"nearer, more in front (temae)"
でも,"also, or (demo)"
てんき、天気,weather (tenki)
でんき、電気,electricity (denki)
でんしゃ、電車,train (densha)
と,"and, with (to)"
と,"when, if, that (to)"
と、戸,"door, family (to)"
ドア,door (doa)
どいつご、ドイツ語,German [language] (doitsugo)
どう,how (dō)
どう、銅,copper [Cu] (dō)
どうぶつ、動物,animal (dōbutsu)
どうろ、道路,road (dōro)
とお、十,"ten, ten things (tō)"
とおい、遠い,far (tooi)
とおり、通り,avenue (tōri)
トカゲ、蜥蜴,lizard (tokage)
とき、じ、時,"~hours (toki, ji)"
どころ,(particle used to indicate that what precedes it is an extreme example and strongly negates it) (dokoro)
とし、ねん、年,"year (toshi, nen)"
どちら、どっち,"which direction, thing, person, or place (dochira, docchi)"
とても,very (totemo)
どの,which (dono)
とびら、扉,door panel (tobira)
とぶ、飛ぶ,"to jump, to fly (tobu)"
トマト、ばんか、蕃茄,"tomato (tomato, banka)"
どようび、土曜日,Saturday (do-yōbi)
とら、虎,tiger (tora)
とり、鳥,bird (tori)
とる、取る、撮る、採る,to take (toru)
どれ,which (dore)
どろ、泥,"mud, mire, clay, plaster (doro)"
トンボ、蜻蛉,dragonfly (tonbo)
な,the copula particle used after quasi-adjectives (na)
ない、ん,"informal negative (nai, n) [ん is a slurred version and sounds a little masculine]"
ないよう、内容,content (naiyō)
なおす、直す、治す,"to fix, repair (naosu)"
ながら,"while, though, both (nagara)"
なく、泣く,to cry (naku)
なぐさめる、慰める,"to console, to consolate, to provide empathy (nagusameru)"
なぐる、殴る,"to hit, to strike (naguru)"
なげる、投げる,to throw (nageru)
ナシ、梨,pear (nashi)
なぜなら,"that is because, being because (nazenara)"
など,for example (nado)
なな、しち、七,"seven (nana, shichi)"
ななつ、七つ,"seven, seven things (nanatsu)"
ななめ、斜め,diagonal (naname)
なまり、鉛,lead [Pb] (namari)
ナメクジ、蛞蝓,slug (namekuji)
なら,if [for verbs]; subject marker [for nouns] (nara)
ならびに,as well as (narabini)
なり,whether or not (nari)
なる,to become (naru)
なわ、縄,"rope, string (nawa)"
なんか,"casual undervalue, dislike, lack (nanka)"
なんて,"casual undervalue, dislike, lack (nante)"
に,indirect object marker (ni)
に,"to <somewhere>, by <someone> (ni)"
に、二,two (ni)
にがい、苦い,bitter (nigai)
にく、肉,meat (niku)
にし、西,west (nishi)
にちようび、日曜日,Sunday (nichi-yōbi)
にっき、日記,diary (nikki)
にほんご、日本語 （こくご、国語）,Japanese [language] (nihongo)
にわとり、鶏,chicken (niwatori)
にんげん、人間,human (ningen)
にんじん、人参,carrot (ninjin)
ぬ,"archaic informal negative [""he hath"", ""thou didst"", etc.] (nu)"
ね,"emphasis and question marker, equivalent to ""right?"" (ne)"
ね、根 (ねっこ、根っ子),"root (ne, nekko)"
ねこ、猫,cat (neko)
ねずみ、鼠,"mouse, rat (nezumi)"
ねる、寝る,to sleep (neru)
の,possession (no)
の,"possession marker, of (no)"
ノート,notebook (nōto)
ので,so (node)
のみもの、飲み物,drink/beverage (nomimono)
のむ、飲む,to drink (nomu)
は,"topic marker (wa) [although ha is the hiragana used, wa is the pronunciation)"
は、歯,tooth (ha)
は、葉 (はっぱ、葉っぱ),"leaf (ha, happa)"
はい,yes (hai)
はいいろ、灰色、ねずみいろ、鼠色,"grey (haiiro, nezumiiro)"
ハエ、蝿、蠅,housefly (hae)
ばかり、ばっかり,"just, full of, only (bakari)"
はく、履く,to wear [on the lower body] (haku)
ばけもの、化け物,monster (bakemono)
はさみ、鋏,scissors (hasami)
はじまる、始まる,to begin (hajimaru)
はしる、走る,to run (hashiru)
バスてい、バス停,bus-stop (basutei)
はずれる、外れる,to deviate (hazureru)
パソコン,personal computer (pasokon)
はだ、肌、膚,skin (hada)
はたらく、働く,"to work [e.g., at a job] (hataraku)"
はち、八,eight (hachi)
バッタ、飛蝗,grasshopper (batta)
はな、花,flower (hana)
はな、鼻,nose (hana)
はなす、放す、離す,to let go of (hanasu)
はなす、話す,to speak (hanasu)
バナナ、かんしょう、甘蕉,"banana (banana, kanshō)"
はば、幅,"width, breadth, free room, difference (between two substances) (haba)"
はは、母,"mother (haha)(""okaa-san"")"
はれ、晴れ,clear weather (hare)
パン,bread (pan)
ばん、晩,evening (ban)
ばんごはん、晩御飯,dinner (bangohan)
ひ、にち、日,"day (hi, nichi)"
ひ、火,fire (hi)
ビール,beer (bīru)
ひえる、冷える,"to grow cold, to get chilly, to cool down (hieru)"
ひがし、東,east (higashi)
ひくい、低い,low (hikui)
ひげ、髭、鬚、髯,"moustache, beard (hige)"
ひこうき、飛行機,airplane (hikōki)
ひざ、膝,knee (hiza)
ひじ、肘,elbow (hiji)
ひだり、左,left (hidari)
ひつじ、羊,sheep (hitsuji)
ひつよう、必要,necessity (hitsuyō)
ひと、人,person (hito)
ひとつ、一つ,"one, one thing (hitotsu)"
ひふ、皮膚,skin (hifu)
ひみつ、秘密,secret (himitsu)
ひも、紐,"string, cord (himo)"
ひゃく、百,hundred (hyaku)
びょう、秒,second (byō)
びょうき、病気,illness (byōki)
ひらがな、平仮名,hiragana syllabary characters (hiragana)
ひる、昼,afternoon (hiru)
ひるごはん、昼御飯,lunch (hirugohan)
ピンク,pink (pinku)
ふうとう、封筒,envelope (fūtō)
ふえる、増える,"to increase, to multiply (fueru)"
ふく、服,clothes (fuku)
ふくろ、袋,"pocket, bag (fukuro)"
ぶた、豚,pig (buta)
ふたつ、二つ,"two, two things (futatsu)"
ふで、筆,brush for writing or painting (fude)
ふとい、太い,thick (futoi)
ふとる、太る,to grow fat (futoru)
ふとん、布団,futon (futon)
ふらんすご、フランス語,French [language] (furansugo)
ふるい、古い,old (furui)
ふん、分,minute (fun)
ぶんぼうぐ、文房具,stationery ​(bunbōgu)
へ,"to (e) [Note: へ is normally read he, but when used as this particle its reading changes to e]"
へいし、兵士,soldier (heishi)
へび、蛇,snake (hebi)
へる、減る,to decrease (heru)
ベルト,belt (beruto)
ペン,pen (pen)
べんきょう、勉強,study (benkyō)
べんごし、弁護士,lawyer (bengoshi)
ボールペン,ball-point pen (bōrupen)
ぼく、僕,"I, myself (boku, mainly used by males)"
ほし、星,star (hoshi)
ほそい、細い,thin (hosoi)
ホタル、蛍,firefly (hotaru)
ボタン,button (botan)
ホッチキス,stapler (hotchikisu)
ホテル,hotel (hoteru)
ほね、骨,bone (hone)
ほめる、褒める,to encourage (homeru)
ほん、本,book (hon)
まえ、前,front (mae)
まぐろ、鮪,tuna (maguro)
まご、孫,grandchild (mago)
ます,formal non-past ending (masu)
ます、増す,"to increase, to grow (masu)"
まずい、不味い,tastes awful (mazui)
まだ,"still, yet (mada)"
また、又,"also, again (mata)"
または、又は,or alternatively (matawa)
まつ、松,pine tree (matsu)
まで,to (made)
まで,until (made)
まど、窓,window (mado)
まめ、豆,"beans, peas (mame)"
まん、万,ten thousand (man)
まんねんひつ、万年筆,fountain pen (mannenhitsu)
み、実,fruit (mi)
ミカン、蜜柑,mandarin orange (mikan)
みぎ、右,right (migi)
みず、水,water (mizu)
みず、水,water (mizu)
みせ、店,store (mise)
みそ、味噌,miso (miso)
みだす、乱す,"to disturb, to disarrange (midasu)"
みだれる、乱れる,"to be disturbed, to become confused (midareru)"
みち、道,"street, way, road (michi)"
みっつ、三つ,"three, three things (mittsu)"
みどり、緑,green (midori)
みなみ、南,south (minami)
みみ、耳,ear (mimi)
ミミズ、蚯蚓,earthworm (mimizu)
みらい、未来,future (mirai)
ミリ,milli- (miri)
みる、見る,to see (miru)
むぎ、麦,"wheat, barley, oats (mugi)"
むく、向く,"to face, to turn toward (muku)"
むこう、向こう,"the other side, opposite side (mukō)"
むし、虫,insect (mushi)
むずかしい、難しい,difficult (muzukashii)
むっつ、六つ,"six, six things (muttsu)"
むね、胸,chest (mune)
むらさき、紫,"purple (murasaki, murasakiiro)"
め、目,eye (me)
メートル,meter (mētoru)
めい、姪,niece (mei)
めがね、眼鏡,glasses (megane)
も,"also, too (mo)"
も,"too, also (mo)"
もう,already (mō)
もくようび、木曜日,Thursday (moku-yōbi)
もじ、文字,"letter, character, script (moji)"
もつ、持つ,to hold (motsu)
モモ、桃,peach (momo)
もも、腿,thigh (momo)
や,and (ya)
やくしょ、役所,local government office (yakusho)
やさい、野菜,vegetable (yasai)
やさしい、易しい,"easy, simple (yasashii)"
やすい、安い,cheap (yasui)
やすむ、休む,"to rest, to take a break, to go to bed (yasumu)"
やっつ、八つ,"eight, eight things (yattsu)"
やる,to do (yaru)
やわらかい、柔らかい,soft (yawarakai)
ゆ、湯,hot water (yu)
ゆうがた、夕方,evening (yūgata)
ゆき、雪,snow (yuki)
ゆげ、湯気,steam (yuge)
ゆび、指,"finger, toe (yubi)"
ようび、曜日,~day (yōbi)
ようふく、洋服,western clothing (yōfuku)
よっつ、四つ,"four, four things (yottsu)"
よむ、読む,to read (yomu)
より,than (yori)
よる、夜,"evening, night (yoru)"
よろこび、喜び,"joy, delight, rapture (yorokobi)"
よろこぶ、喜ぶ,"to celebrate, to be jubilant, to have joy, to have delight, to have rapture (yorokobu)"
よん、し、四,"four (yon, shi)"
りか、理科,science (rika)
リットル,litre (rittoru)
りゅう、たつ、竜,"dragon (ryū, tatsu)"
りょうしん、両親,parents (ryoushin)
りょうり、料理,cooking (ryōri)
リンゴ、林檎,apple (ringo)
れい、ゼロ、零,"zero (rei, zero)"
れきし、歴史,history (rekishi)
れる、られる,"passive verb ending [れる for u-verbs, られる for ru-verbs]: to be <verbed> [e.g., 食べられる, ""to be eaten""] (reru, rareru)"
ローマ字,"Roman characters, Latin script (rōmaji)"
ろく、六,six (roku)
ワイン,wine (wain)
わかい、若い,young (wakai)
わかもの、若者,"youth, young person (wakamono)"
わかれる、分かれる,"to split intoin, to be divided (wakareru)"
わかれる、別れる,"to partin, to separatein, to break upin (wakareru)"
わし、鷲,eagle (washi)
わたくし、私,"I, myself (watakushi [most formal])"
わたし、私,"I, myself (watashi)"
わふく、和服,Japanese clothing (wafuku)
わらう、笑う,to laugh (warau)
わるい、悪い,"bad, inferior (warui)"
を,direct object marker (o)